Country,EdLevel,YearsCodePro,Employment,Salary
13,1,3,2,85000.0
7,3,0,2,42657.0
13,4,12,2,250000.0
3,3,18,0,159950.0
3,3,18,1,159950.0
3,3,18,4,159950.0
13,1,24,2,130000.0
2,3,11,2,100000.0
13,1,2,2,140000.0
2,0,18,2,64029.0
2,0,18,0,64029.0
2,0,18,1,64029.0
2,0,18,4,64029.0
9,1,3,2,33300.0
8,4,0,2,18048.0
13,1,4,2,130000.0
11,3,22,2,73140.0
1,0,17,2,37392.0
5,3,3,2,64486.0
13,1,18,2,280000.0
13,1,3,2,93000.0
13,1,3,0,93000.0
13,1,3,1,93000.0
13,1,3,4,93000.0
13,4,4,2,170000.0
11,3,3,2,63384.0
8,1,15,2,44796.0
13,1,7,2,170000.0
13,3,6,2,115000.0
8,4,0,2,47776.0
8,3,10,2,22226.0
8,3,10,0,22226.0
8,3,10,1,22226.0
8,3,10,4,22226.0
9,3,15,0,125000.0
9,3,15,1,125000.0
9,3,15,4,125000.0
13,1,7,2,100000.0
13,3,2,2,151000.0
3,3,6,2,42231.0
2,1,0,2,48998.0
8,4,8,2,60252.0
13,0,6,2,200000.0
13,1,7,2,159000.0
2,1,1,2,54020.0
8,3,7,2,110124.0
8,3,6,2,37932.0
13,1,3,2,140000.0
13,1,10,2,115000.0
13,1,9,2,55000.0
8,4,3,2,51189.0
13,1,4,2,70000.0
13,2,2,2,218000.0
13,3,32,2,170000.0
13,1,10,2,155000.0
13,1,30,2,355000.0
13,1,3,2,155000.0
13,1,2,2,100000.0
13,1,2,2,90000.0
5,1,4,2,753324.0
13,1,4,2,150000.0
13,1,20,2,115500.0
6,4,0,2,20472.0
2,1,2,2,70276.0
13,1,32,2,250000.0
8,1,6,2,69588.0
11,4,17,2,182841.0
13,1,7,2,140000.0
12,1,6,2,109826.0
13,1,2,2,100000.0
11,4,16,2,91416.0
8,1,4,2,63984.0
8,1,10,2,30108.0
8,1,1,2,7248.0
8,3,12,2,70920.0
13,3,10,2,300000.0
13,1,37,2,126000.0
6,3,8,2,47990.0
13,1,5,2,155000.0
13,1,10,2,180000.0
8,3,7,2,46068.0
12,1,6,2,65332.0
12,4,10,2,62820.0
2,2,7,2,136647.0
13,4,7,2,185000.0
13,1,5,2,66000.0
13,1,5,2,90000.0
3,3,2,2,38388.0
2,1,22,2,106975.0
13,1,18,2,300000.0
2,1,12,2,78084.0
2,1,18,2,105414.0
3,3,4,2,66119.0
8,7,10,2,118380.0
12,1,6,2,100511.0
7,1,2,2,39672.0
6,7,5,2,383916.0
2,1,12,0,281103.0
2,1,12,1,281103.0
2,1,12,4,281103.0
13,1,2,2,300000.0
13,4,2,2,243000.0
1,1,3,2,24429.0
8,1,23,2,121968.0
2,1,8,2,200000.0
2,1,8,0,200000.0
2,1,8,1,200000.0
2,1,8,4,200000.0
13,1,19,2,130000.0
5,1,0,2,21925.0
2,1,9,2,71027.0
8,4,13,2,15780.0
12,1,0,2,43974.0
13,1,6,2,55000.0
4,4,10,2,101312.0
13,1,19,2,230000.0
13,4,23,2,300000.0
13,1,14,2,220000.0
10,0,3,2,37325.0
8,1,7,2,136308.0
8,1,2,2,34548.0
2,1,5,2,67152.0
11,1,6,2,85320.0
8,1,7,2,58654.0
13,1,5,2,88000.0
13,2,7,2,167000.0
8,1,5,2,86405.0
13,2,5,2,15000000.0
8,1,3,2,11233.0
13,1,3,2,73000.0
4,3,30,2,895812.0
13,1,26,2,190000.0
4,1,2,2,54388.0
13,1,31,2,305000.0
13,4,10,2,165000.0
8,1,4,2,18036.0
5,1,1,2,8352.0
13,1,0,2,94000.0
2,1,2,2,70276.0
8,3,5,2,41556.0
13,1,4,2,120000.0
4,7,22,2,59724.0
12,4,29,0,314098.0
12,4,29,1,314098.0
12,4,29,4,314098.0
8,1,11,2,134817.0
7,1,3,2,53322.0
2,3,8,2,85893.0
2,3,8,0,85893.0
2,3,8,1,85893.0
2,3,8,4,85893.0
12,3,6,2,64076.0
2,1,6,2,78084.0
13,1,10,2,200000.0
8,3,1,2,57038.0
13,1,2,2,230000.0
12,3,2,2,52769.0
13,1,2,2,107350.0
13,1,2,2,86000.0
13,1,5,2,115000.0
2,4,4,2,51536.0
12,1,7,2,100511.0
8,3,11,2,124447.0
13,3,5,2,210000.0
13,4,26,2,195000.0
8,3,9,2,58500.0
13,1,0,2,89000.0
13,1,6,2,125000.0
13,4,3,2,200000.0
12,2,25,2,124383.0
4,3,4,2,37116.0
8,1,3,2,17880.0
8,3,6,2,37325.0
13,1,4,2,400000.0
4,1,6,2,63986.0
4,1,6,0,63986.0
4,1,6,1,63986.0
4,1,6,4,63986.0
8,7,3,2,21528.0
13,3,16,2,185000.0
13,3,16,3,185000.0
8,1,2,2,33600.0
8,1,4,2,65053.0
11,3,15,2,63384.0
5,3,5,2,11208.0
13,4,1,2,65000.0
3,3,4,2,38388.0
5,3,1,2,60000.0
13,1,12,2,250000.0
13,1,2,2,145000.0
8,3,5,2,87113.0
5,1,4,2,137355.0
13,1,12,2,180000.0
13,3,12,2,113000.0
2,1,13,2,101509.0
8,3,1,2,66371.0
11,4,6,2,60948.0
2,1,4,2,52316.0
13,1,5,2,185000.0
13,1,10,2,1050000.0
13,1,3,2,110000.0
8,3,10,0,74651.0
8,3,10,1,74651.0
8,3,10,4,74651.0
8,3,1,2,57038.0
4,1,3,2,80623.0
8,1,7,2,31993.0
8,1,2,2,30000.0
13,1,35,0,1440000.0
13,1,35,1,1440000.0
13,1,35,4,1440000.0
13,3,9,2,500000.0
13,1,5,2,110000.0
8,1,4,2,44796.0
8,3,18,2,33408.0
2,2,3,2,78084.0
2,2,3,3,78084.0
9,7,1,2,23592.0
8,1,15,0,27288.0
8,1,15,1,27288.0
8,1,15,4,27288.0
8,1,15,3,27288.0
13,1,15,2,100000.0
0,4,5,2,99080.0
4,1,2,2,67186.0
3,3,3,2,49056.0
13,1,3,2,100000.0
13,1,1,2,104750.0
4,3,5,2,63986.0
8,3,5,2,99288.0
8,1,10,2,48000.0
11,1,3,2,54852.0
13,1,18,3,620000.0
13,3,14,2,140000.0
11,1,10,2,61056.0
12,3,0,2,376918.0
5,1,0,2,10318.0
8,3,3,2,82964.0
8,1,4,2,57588.0
8,3,7,2,91200.0
3,3,18,2,76783.0
13,1,7,2,100000.0
6,4,4,2,31992.0
8,4,11,2,99816.0
3,3,10,0,319931.0
3,3,10,1,319931.0
3,3,10,4,319931.0
13,4,6,2,125000.0
13,1,6,2,160000.0
8,1,4,2,31620.0
3,3,8,2,66119.0
13,1,5,2,123141.0
12,4,7,2,81666.0
11,3,7,2,60948.0
13,1,4,2,70000.0
8,1,2,2,25104.0
13,0,18,2,170000.0
13,3,2,2,11000000.0
2,1,4,2,71681.0
4,3,2,2,66119.0
